<Meta>,<Event>,<Severity>,<Privacy>,<Subject>,<Owner>,<Object>,<Object>,<Object>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Client>
<Def>,Job.Set.OutputMethod,Warning,TRUE,<PRIVACY>,"<INTERNAL>
ジョブのオーナ","<UNCLASSIFIED>
JobID",,,,,"<PRIVACY>
データ出力先",,,,,,"jp.co.fujixerox.spider.runtime.jmcomp.JobManagerComponent
jp.co.fujixerox.spicule.app.scancomp.ScanApplicationComponent"
<Def>,Document.Create.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者","<UNCLASSIFIED>
DocumentID","<privacy>
DocumentName
(1st商品では常に空文字が設定される)","<UNCLASSIFIED>
DocumentType",,,"<privacy>
ドキュメントの格納場所
・フォルダの場合はフォルダＩＤ
・フォルダー格納でない場合は空文字列","<UNCLASSIFIED>
ジョブ識別子",,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.Create.Failure,Warning,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者",,"<privacy>
DocumentName
(1st商品では常に空文字が設定される)","<UNCLASSIFIED>
DocumentType",,"<UNCLASSIFIED>
失敗理由","<privacy>
ドキュメントの格納場所
・フォルダの場合はフォルダＩＤ
・フォルダー格納でない場合は空文字列","<UNCLASSIFIED>
ジョブ識別子",,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.Remove.Accept,Notice,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者","<UNCLASSIFIED>
DocumentID","<privacy>
DocumentName","<UNCLASSIFIED>
DocumentType",,,"<UNCLASSIFIED>
ジョブ識別子",,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.Remove.Reject,Warning,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者","<UNCLASSIFIED>
DocumentID",,,,"<UNCLASSIFIED>
失敗理由","<UNCLASSIFIED>
ジョブ識別子",,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.Remove.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者","<UNCLASSIFIED>
DocumentID",,,,,,,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.Delete.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者","<UNCLASSIFIED>
DocumentID","<privacy>
DocumentName
(1st商品では常に空文字が設定される)","<UNCLASSIFIED>
DocumentType",,,"<UNCLASSIFIED>
ジョブ識別子",,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.Delete.Failure,Warning,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者","<UNCLASSIFIED>
DocumentID",,,,"<UNCLASSIFIED>
失敗理由","<UNCLASSIFIED>
ジョブ識別子",,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.WriteRequired.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者","<UNCLASSIFIED>
DocumentID","<privacy>
DocumentName
(1st商品では常に空文字が設定される)","<UNCLASSIFIED>
DocumentType",,,"<UNCLASSIFIED>
ジョブ識別子",,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.WriteRequired.Failure,Warning,TRUE,<PRIVACY>,"<internal>ドキュメントの作成者
（ドキュメントが存在しない場合は空文字）","<UNCLASSIFIED>
DocumentID",,,,"<UNCLASSIFIED>
失敗理由","<UNCLASSIFIED>
ジョブ識別子",,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.ReadRequired.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者","<UNCLASSIFIED>
DocumentID","<privacy>
DocumentName
(1st商品では常に空文字が設定される)","<UNCLASSIFIED>
DocumentType",,,"<UNCLASSIFIED>
ジョブ識別子",,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.ReadRequired.Failure,Warning,TRUE,<PRIVACY>,"<internal>ドキュメントの作成者
（ドキュメントが存在しない場合は空文字）","<UNCLASSIFIED>
DocumentID",,,,"<UNCLASSIFIED>
失敗理由","<UNCLASSIFIED>
ジョブ識別子",,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.NameChange.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者","<UNCLASSIFIED>
DocumentID","<privacy>
DocumentName
(空文字の設定が可能)","<UNCLASSIFIED>
DocumentType",,,"<privacy>
変更後の名称
(空文字の設定が可能)",,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,Document.NameChange.Failure,Warning,TRUE,<PRIVACY>,"<INTERNAL>
ドキュメントの作成者","<UNCLASSIFIED>
DocumentID",,,,"<UNCLASSIFIED>
失敗理由","<PRIVACY>
変更要求された名称
(255バイトを超える場合は、255バイトを超えない文字の区切りに”...""を加えた文字とする。)",,,,,,jp.co.fujixerox.spider.runtime.dmcomp.DocumentManagerComponent
<Def>,ImageLog.Create.Success,Critical,FALSE,,,"<UNCLASSIFIED>
JobID
（DocumentID?)",,,,,,,,,,,jp.co.fujixerox.spider.util.ImageLogUtility
<Def>,ImageLog.Deleted.Success,Critical,FALSE,,,"<UNCLASSIFIED>
JobID
（DocumentID?)",,,,,,,,,,,jp.co.fujixerox.spider.util.ImageLogUtility
<Def>,ImageLog.Read.Success,Critical,TRUE,,,"<UNCLASSIFIED>
JobID
（DocumentID?)",,,,,"<PRIVACY>
データ出力先",,,,,,jp.co.fujixerox.spider.util.ImageLogUtility
<Def>,Folder.Create.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
作成したフォルダのオーナ
（作成したフォルダの親フォルダのオーナーではない。）","<UNCLASSIFIED>
FolderID","<PRIVACY>
フォルダの名称(パス情報を含まない。)",,,,"<UNCLASSIFIED>
親フォルダのフォルダＩＤ
（リポジトリ直下にフォルダを作成した場合はリポジトリの名称）",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.Create.Failure,Warning,TRUE,<PRIVACY>,"<INTERNAL>
作成に成功した場合にフォルダのオーナとなった人
（作成に失敗したフォルダの親フォルダのオーナーではない。）",,"<PRIVACY>
フォルダの名称(パス情報を含まない。)",,,"<UNCLASSIFIED>
失敗理由","<UNCLASSIFIED>
親フォルダのフォルダＩＤ
（リポジトリ直下へのフォルダ作成要求の場合はリポジトリの名称）",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.Delete.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
削除されたフォルダのオーナ
（削除されたフォルダの親フォルダのオーナーではない。）","<UNCLASSIFIED>
FolderID","<PRIVACY>
フォルダの名称(パス情報を含まない。)",,,,"<UNCLASSIFIED>
親フォルダのフォルダＩＤ
（リポジトリ直下のフォルダを削除した場合はリポジトリの名称）",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.Delete.Failure,Warning,TRUE,<PRIVACY>,"<INTERNAL>
削除要求されたフォルダのオーナ
（削除要求されたフォルダの親フォルダのオーナーではない。）","<UNCLASSIFIED>
FolderID",,,,"<UNCLASSIFIED>
失敗理由","<UNCLASSIFIED>
親フォルダのフォルダＩＤ
（リポジトリ直下のフォルダへの削除要求の場合はリポジトリの名称）",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.NameChange.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
名称変更したフォルダのオーナ
（名称変更したフォルダの親フォルダのオーナーではない。）","<UNCLASSIFIED>
FolderID","<PRIVACY>
フォルダの名称(パス情報を含まない。)",,,,"<UNCLASSIFIED>
親フォルダのフォルダＩＤ
（リポジトリ直下のフォルダの名称を変更した場合はリポジトリの名称）","<PRIVACY>
変更後の名称",,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.NameChange.Failure,Warning,TRUE,<PRIVACY>,"<INTERNAL>
名称変更要求されたフォルダのオーナ
（名称変更要求されたフォルダの親フォルダのオーナーではない。）","<UNCLASSIFIED>
FolderID",,,,"<UNCLASSIFIED>
失敗理由","<UNCLASSIFIED>
親フォルダのフォルダＩＤ
（リポジトリ直下のフォルダへの名称変更要求の場合はリポジトリの名称）","<PRIVACY>
変更要求された名称",,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.AccessRights.Change.Start,Warning,TRUE,<PRIVACY>,"<INTERNAL>
フォルダのオーナ","<UNCLASSIFIED>
FolderID",,,"<UNCLASSIFIED>
変更要求開始時間",,,,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.AccessRights.Change.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
フォルダのオーナ","<UNCLASSIFIED>
FolderID",,,"<UNCLASSIFIED>
「フォルダのアクセス権変更要求開始」と同じ時間",,"<PRIVACY>
対象者のユーザ名もしくはユーザクラス
(区別が付くようにする。)","<PRIVACY>
設定されたアクセス権",,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.AccessRights.Change.Complete,Warning,TRUE,<PRIVACY>,"<INTERNAL>
フォルダのオーナ","<UNCLASSIFIED>
FolderID",,,"<UNCLASSIFIED>
「フォルダのアクセス権変更要求開始」と同じ時間",,,,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.AccessRights.Change.Failure,Warning,TRUE,<PRIVACY>,"<INTERNAL>
フォルダのオーナ","<UNCLASSIFIED>
FolderID",,,"<UNCLASSIFIED>
「フォルダのアクセス権変更要求開始」と同じ時間","<UNCLASSIFIED>
失敗理由",,,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.AddItem.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
アイテムが追加されたフォルダのオーナ","<UNCLASSIFIED>
追加されたアイテムの識別情報
(Documentの場合DocumentID, フォルダの場合FolderID）","<PRIVACY>
アイテムに設定された名前","<UNCLASSIFIED>
アイテムの種別
・Documentの場合:""Document"", ・フォルダの場合:""Folder""
・User Homeの場合:""(検討する)""
・スクリプトの場合：""Script""",,,"<UNCLASSIFIED>
アイテムが追加されたフォルダーのフォルダーID",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.AddItem.Failure,Warning,TRUE,<PRIVACY>,"<INTERNAL>
アイテムが追加要求されたフォルダのオーナ","<UNCLASSIFIED>
追加要求されたアイテムの識別情報
(Documentの場合DocumentID, フォルダの場合FolderID）","<PRIVACY>
アイテムに設定された名前","<UNCLASSIFIED>
アイテムの種別
・Documentの場合:""Document"", ・フォルダの場合:""Folder""
・User Homeの場合:""(検討する)""
・スクリプトの場合：""Script""",,"<UNCLASSIFIED>
失敗の理由
アクセス権なしなど","<UNCLASSIFIED>
アイテムが追加要求されたフォルダーのフォルダーID",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.DeleteItem.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
アイテムが削除されたフォルダのオーナ","<UNCLASSIFIED>
削除されたアイテムの識別情報
(Documentの場合DocumentID, フォルダの場合FolderID）","<PRIVACY>
アイテムに設定された名前","<UNCLASSIFIED>
アイテムの種別
・Documentの場合:""Document"", ・フォルダの場合:""Folder""
・User Homeの場合:""(検討する)""
・スクリプトの場合：""Script""",,,"<UNCLASSIFIED>
アイテムが削除されたフォルダーのフォルダーID",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Folder.DeleteItem.Failure,Warning,TRUE,<PRIVACY>,"<INTERNAL>
アイテムが削除要求されたフォルダのオーナ","<UNCLASSIFIED>
削除要求されたアイテムの識別情報
(Documentの場合DocumentID, フォルダの場合FolderID）",,,,"<UNCLASSIFIED>
失敗の理由
アクセス権なしなど","<UNCLASSIFIED>
アイテムが削除要求されたフォルダーのフォルダーID",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Repository.AddItem.Success,Notice,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
追加されたアイテムの識別情報
(FolderID）","<PRIVACY>
アイテムに設定された名前","<UNCLASSIFIED>
アイテムの種別
(""Folder""固定)",,,"<UNCLASSIFIED>
アイテムが追加されたReporisoryの名称",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Repository.AddItem.Failure,Warning,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
追加要求されたアイテムの識別情報
(FolderID）","<PRIVACY>
アイテムに設定された名前","<UNCLASSIFIED>
アイテムの種別
(""Folder""固定)",,"<UNCLASSIFIED>
失敗の理由
アクセス権なしなど","<UNCLASSIFIED>
アイテムが追加要求されたReporisoryの名称",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Repository.DeleteItem.Success,Notice,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
削除されたアイテムの識別情報
(FolderID）","<PRIVACY>
アイテムに設定された名前","<UNCLASSIFIED>
アイテムの種別
(""Folder""固定)",,,"<UNCLASSIFIED>
アイテムが削除されたReporisoryの名称",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,Repository.DeleteItem.Failure,Warning,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
削除要求されたアイテムの識別情報
(FolderID）",,,,"<UNCLASSIFIED>
失敗の理由
アクセス権なしなど","<UNCLASSIFIED>
アイテムが削除要求されたReporisoryの名称",,,,,,jp.co.fujixerox.spider.runtime.rmcomp.RepositoryManagerComponent
<Def>,AddressBook.AddEntry.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
個人アドレス帳を所有するユーザのユーザ管理番号","<PRIVACY>
宛先管理番号",,,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.AddEntry.Failure,Warning,TRUE,<privacy>,"<internal>
個人アドレス帳を所有するユーザのユーザ管理番号
(特定できない場合には空文字を出力)",,,,,"<UNCLASSIFIED>
失敗の理由
アクセス権なしなど",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.DeleteEntry.Accept,Warning,TRUE,<PRIVACY>,"<INTERNAL>
個人アドレス帳を所有するユーザのユーザ管理番号","<PRIVACY>
宛先管理番号","<privacy>
宛先名
(宛先名が特定できない場合には空文字)",,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.DeleteEntry.Reject,Warning,TRUE,<privacy>,"<internal>
個人アドレス帳を所有するユーザのユーザ管理番号
(特定できない場合には空文字を出力)","<PRIVACY>
削除要求のあった宛先管理番号","<privacy>
宛先名
(削除対象の宛先が見つからなかった場合には空文字が出力される)",,,"<UNCLASSIFIED>
失敗の理由
アクセス権なしなど",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.DeleteEntry.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
個人アドレス帳を所有するユーザのユーザ管理番号","<PRIVACY>
宛先管理番号","<privacy>
宛先名
(宛先名が特定できない場合には空文字)",,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.DeleteAllEntries.Accept,Warning,TRUE,<PRIVACY>,"<INTERNAL>
個人アドレス帳を所有するユーザのユーザ管理番号","<PRIVACY>
個人アドレス帳を所有するユーザのユーザ管理番号
",,,"<UNCLASSIFIED>
削除開始時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.DeleteAllEntries.Reject,Warning,TRUE,<privacy>,"<internal>
個人アドレス帳を所有するユーザのユーザ管理番号
(特定できない場合には空文字を出力)","<PRIVACY>
個人アドレス帳を所有するユーザのユーザ管理番号
(ユーザー管理番号が不正な場合でも、不正だったユーザー管理番号を記録する。)
",,,,"<UNCLASSIFIED>
失敗の理由
アクセス権なしなど",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.DeleteAllEntries.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
個人アドレス帳を所有するユーザのユーザ管理番号","<PRIVACY>
個人アドレス帳を所有するユーザのユーザ管理番号",,,"<UNCLASSIFIED>
宛先表の宛先の一括削除開始と同じ時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.PublicInfoChange.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
個人アドレス帳を所有するユーザのユーザ管理番号","<PRIVACY>
個人アドレス帳を所有するユーザのユーザ管理番号",,,,,"<UNCLASSIFIED>
変更後の値
（公開・非公開）",,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.PublicInfoChange.Failure,Warning,TRUE,<privacy>,"<internal>
個人アドレス帳を所有するユーザのユーザ管理番号
(特定できない場合には空文字を出力)","<PRIVACY>
個人アドレス帳を所有するユーザのユーザ管理番号
(ユーザー管理番号が不正な場合でも、不正だったユーザー管理番号を記録する。)",,,,"<UNCLASSIFIED>
失敗理由
アクセス権なしなど","<UNCLASSIFIED>
変更要求された値
（公開・非公開）",,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.AddressNameChange.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
個人アドレス帳を所有するユーザのユーザ管理番号","<PRIVACY>
宛先管理番号","<privacy>
宛先名
(設定されていない場合は空文字)",,,,"<privacy>
変更後の宛先名
(クリアされた場合は空文字)",,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.AddressNameChange.Failure,Warning,TRUE,<privacy>,"<internal>
個人アドレス帳を所有するユーザのユーザ管理番号
(特定できない場合には空文字を出力)","<PRIVACY>
宛先管理番号",,,,"<UNCLASSIFIED>
失敗理由
アクセス権なしなど","<PRIVACY>
変更要求されたの宛先名",,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.AttributeChange.Start,Warning,TRUE,<privacy>,"<internal>
個人アドレス帳を所有するユーザのユーザ管理番号
(特定できない場合には空文字を出力)","<PRIVACY>
宛先管理番号",,,"<UNCLASSIFIED>
変更開始時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.AttributeChange.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
個人アドレス帳を所有するユーザのユーザ管理番号","<PRIVACY>
宛先管理番号","<privacy>
宛先名
（設定されていない場合は空文字を出力）",,"<UNCLASSIFIED>
「宛先の属性の変更開始」と同じ時間",,"<UNCLASSIFIED>
変更された属性の識別情報","<privacy>
変更前の値
(未設定の場合は空文字)","<privacy>
変更後の値
（クリアされた場合は空文字）",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.AttributeChange.Failure,Warning,TRUE,<privacy>,"<internal>
個人アドレス帳を所有するユーザのユーザ管理番号
（特定できない場合には空文字を出力）","<PRIVACY>
宛先管理番号",,,"<UNCLASSIFIED>
「宛先の属性の変更開始」と同じ時間","<UNCLASSIFIED>
失敗理由
アクセス権なしなど","<UNCLASSIFIED>
変更要求された属性の識別情報","<privacy>
変更要求された値
（クリア要求の場合は空文字）",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AddressBook.AttributeChange.Complete,Warning,TRUE,<privacy>,"<internal>
個人アドレス帳を所有するユーザのユーザ管理番号
（特定できない場合には空文字を出力）","<PRIVACY>
宛先管理番号",,,"<UNCLASSIFIED>
「宛先の属性の変更開始」と同じ時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.Add.Start,Notice,TRUE,<privacy>,,,,,"<UNCLASSIFIED>
追加開始時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.Add.Success,Notice,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
証明書のissuerとserialNumber","<UNCLASSIFIED>
証明書のsubject
(なければ、subjectAltName)",,"<UNCLASSIFIED>
「デバイス証明書の追加開始」と同じ時間","<UNCLASSIFIED>
正常終了(OK)、または、
既存のため非実行（ALREADY_COMMITTED）",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.Add.Failure,Warning,TRUE,<privacy>,,"<unclassified>
証明書のissuerとserialNumber
（証明書が不正で情報が取り出せない場合は空文字）","<unclassified>
証明書のsubject
(なければ、subjectAltName)
（証明書が不正で情報が取り出せない場合は空文字）",,"<UNCLASSIFIED>
「デバイス証明書の追加開始」と同じ時間","<UNCLASSIFIED>
失敗理由
アクセス権なしなど",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.Add.Complete,Notice,TRUE,<privacy>,,,,,"<UNCLASSIFIED>
「デバイス証明書の追加開始」と同じ時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.Create.Success,Notice,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
証明書のissuerとserialNumber","<UNCLASSIFIED>
証明書のsubject
(なければ、subjectAltName)",,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.Create.Failure,Critical,TRUE,<PRIVACY>,,"<unclassified>
証明書のissuerとserialNumber
(本値が決まる前の失敗時は空文字)","<unclassified>
証明書のsubject
(なければ、subjectAltName)
(本値が決まる前の失敗時は空文字)",,,"<UNCLASSIFIED>
失敗理由
アクセス権なしなど",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.Delete.Success,Notice,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
証明書のissuerとserialNumber","<UNCLASSIFIED>
証明書のsubject
(なければ、subjectAltName)",,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.Delete.Failure,Critical,TRUE,<privacy>,,"<unclassified>
証明書のissuerとserialNumber
(証明書自体が削除済みなどのケースで情報が取り出せない場合は空文字)","<unclassified>
証明書のsubject
(なければ、subjectAltName)
(証明書自体が削除済みなどのケースで情報が取り出せない場合は空文字)",,,"<UNCLASSIFIED>
失敗理由
アクセス権なしなど",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.AttributeChange.Start,Notice,TRUE,<privacy>,,,,,"<UNCLASSIFIED>
変更開始時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.AttributeChange.Accept,Notice,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
証明書のissuerとserialNumber","<UNCLASSIFIED>
証明書のsubject
(なければ、subjectAltName)",,"<UNCLASSIFIED>
デバイス証明書の属性情報変更開始と同じ時間",,"<UNCLASSIFIED>
変更された属性の識別情報","<PRIVACY>
変更前の値","<PRIVACY>
変更後の値",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.AttributeChange.Reject,Critical,TRUE,<privacy>,,"<unclassified>
証明書のissuerとserialNumber
(証明書の指定不正などのケースで情報が取り出せない場合は空文字)","<unclassified>
証明書のsubject
(なければ、subjectAltName)
(証明書の指定不正などのケースで情報が取り出せない場合は空文字)",,"<UNCLASSIFIED>
デバイス証明書の属性情報変更開始と同じ時間","<UNCLASSIFIED>
失敗理由
アクセス権なしなど","<unclassified>
変更要求された属性の識別情報","<privacy>
変更要求された値",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.AttributeChange.Success,Notice,TRUE,<PRIVACY>,,,,,"<UNCLASSIFIED>
デバイス証明書の属性情報変更開始と同じ時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,DeviceCertificate.AttributeChange.Failure,Warning,TRUE,<privacy>,,,,,"<UNCLASSIFIED>
デバイス証明書の属性情報変更開始と同じ時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,CACertificate.Add.Start,Notice,TRUE,<privacy>,,,,,"<UNCLASSIFIED>
追加開始時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,CACertificate.Add.Success,Notice,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
証明書のissuerとserialNumber","<UNCLASSIFIED>
証明書のsubject
(なければ、subjectAltName)",,"<UNCLASSIFIED>
デバイス証明書、CA証明書もしくは個人証明書の追加開始と同じ時間","<UNCLASSIFIED>
正常終了(OK)、または、
既存のため非実行（ALREADY_COMMITTED）",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,CACertificate.Add.Failure,Warning,TRUE,<privacy>,,"<unclassified>
証明書のissuerとserialNumber
(証明書が不正で情報が取り出せない場合は空文字)","<unclassified>
証明書のsubject
(なければ、subjectAltName)
(証明書が不正で情報が取り出せない場合は空文字)",,"<UNCLASSIFIED>
デバイス証明書、CA証明書もしくは個人証明書の追加開始と同じ時間","<UNCLASSIFIED>
失敗理由
アクセス権なしなど",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,CACertificate.Add.Complete,Notice,TRUE,<privacy>,,,,,"<UNCLASSIFIED>
CA証明書の追加開始と同じ時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,CACertificate.Delete.Success,Notice,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
証明書のissuerとserialNumber","<UNCLASSIFIED>
証明書のsubject
(なければ、subjectAltName)",,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,CACertificate.Delete.Failure,Critical,TRUE,<privacy>,,"<unclassified>
証明書のissuerとserialNumber
(証明書自体が削除済みなどのケースで情報が取り出せない場合は空文字)","<unclassified>
証明書のsubject
(なければ、subjectAltName)
(証明書自体が削除済みなどのケースで情報が取り出せない場合は空文字)",,,"<UNCLASSIFIED>
失敗理由
アクセス権なしなど。",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,CACertificate.AttributeChange.Start,Notice,TRUE,<privacy>,,,,,"<UNCLASSIFIED>
変更開始時間",,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
